,,10η Παπάγου,,37.989606,23.794099,
,,landuse-residential,,37.99167,23.792075,
,,Εθνική Άμυνα,,37.999102,23.784341,
,,Dropped Pin,,37.997282,23.78209,
,,Dropped Pin,,37.995531,23.779342,
,,Communication,,37.99311,23.77586,
,,Dropped Pin,,37.991199,23.771709,
,,Dropped Pin,,37.988378,23.767385,
,,Dropped Pin,,37.989997,23.769998,
,,ΚΑΡΑΝΙΚΑ,,37.986812,23.76517,
,,Dropped Pin,,37.986315,23.763989,
,,ΑΜΠΕΛΟΚΗΠΟΙ,,37.98622,23.762613,
,,Dropped Pin,,37.986481,23.761321,
,,Dropped Pin,,37.985164,23.760277,
,,entrance,,37.98427,23.7593,
,,landuse-residential,,37.982867,23.757188,
,,Dropped Pin,,37.982142,23.756132,
,,Dropped Pin,,37.981225,23.75523,
,,Dropped Pin,,37.97988,23.753957,
,,Dropped Pin,,37.978226,23.752042,
,,Πλατεία Μεγάλης του Γένους Σχολής,,37.976879,23.749363,
,,Evangelismos,,37.976315,23.747043,
,,43,,37.975968,23.745796,
,,33,,37.975365,23.743098,
,,19,,37.975647,23.740563,
,,landuse-residential,,37.977105,23.739361,
,,landuse-residential,,37.977655,23.739034,
,,landuse-residential,,37.978607,23.738251,
,,ΣΟΛΩΝΟΣ,,37.97949,23.737537,
,,landuse-residential,,37.980113,23.737037,
,,HANTH - XΑΝΘ,,37.979539,23.735983,
,,Dropped Pin,,38.003702,23.793099,
,,Dropped Pin,,38.005386,23.795323,
,,Χολαργός,,38.004975,23.794775,
,,landuse-residential,,38.011239,23.795634,
,,Dropped Pin,,38.0075,23.801798,
,,landuse-residential,,37.961853,23.752532,
,,landuse-residential,,37.965467,23.750371,
,,landuse-residential,,37.966233,23.749778,
,,landuse-residential,,37.966996,23.749096,
,,landuse-residential,,37.967537,23.748593,
,,Άλσος,,37.9678,23.747113,
,,Πλατεία Προφήτη Ηλία,,37.965482,23.74622,
,,landuse-residential,,37.966589,23.748122,
,,landuse-residential,,37.965732,23.748875,
,,ΦΡΥΝΗΣ,,37.965032,23.749432,
,,landuse-residential,,37.963939,23.747595,
,,landuse-residential,,37.971333,23.747579,
,,landuse-residential,,37.972468,23.74779,
,,landuse-residential,,37.97253,23.747113,
,,landuse-residential,,37.973822,23.747965,
,,Grigoris,,37.972975,23.747847,
,,landuse-residential,,37.969151,23.752801,
,,landuse-residential,,37.967599,23.754087,
,,landuse-residential,,37.968995,23.754977,
,,Dropped Pin,,37.969908,23.754477,
,,Zografou Playground,,37.974926,23.760526,
,,Το Χωριάτικο,,37.979552,23.763412,
,,Μιχαλάτος,,37.977858,23.769936,
,,Πλατεία Ελευθερίου Βενιζέλου,,38.0227,23.800118,
,,Dropped Pin,,38.022472,23.80074,
,,Πλατεία Χαλανδρίου,,38.021388,23.798742,
,,Τσιμπίδη Βασιλική,,38.017976,23.795848,
,,landuse-residential,,38.015815,23.792298,
,,gas station,,38.015694,23.792047,
,,Dropped Pin,,38.012515,23.790088,
,,landuse-residential,,38.007707,23.787165,
,,landuse-residential,,38.009838,23.782983,
,,Dropped Pin,,38.009992,23.780027,
,,landuse-residential,,38.002785,23.783578,
,,landuse-residential,,38.003398,23.78233,
,,landuse-residential,,37.983717,23.786235,
,,Dropped Pin,,37.983992,23.782938,
,,Δάσος Καισαριανής Αττικής,,37.965242,23.775979,
,,Dropped Pin,,37.971798,23.757747,
,,Dropped Pin,,37.971982,23.756603,
,,Dropped Pin,,37.972519,23.752344,
,,landuse-residential,,37.972207,23.755032,
,,Dropped Pin,,37.975166,23.750037,
,,Dropped Pin,,37.976282,23.749372,
,,Dropped Pin,,37.961858,23.717736,
,,railway-level_crossing,,37.96239,23.725135,
,,landuse-residential,,37.962654,23.715255,
,,railway-level_crossing,,37.964453,23.727225,
,,railway-level_crossing,,37.965388,23.729446,
,,ΑΓ.ΠΑΝΤΕΛΕΗΜΩΝ,,37.965806,23.730946,
,,Λ. Βουλιαγμένης,,37.966401,23.731409,
,,railway-level_crossing,,37.967166,23.733395,
,,landuse-residential,,37.968156,23.737348,
,,Ζάππειο,,37.968962,23.738162,
,,Dropped Pin,,37.969767,23.739599,
,,landuse-residential,,37.97058,23.741217,
,,Dropped Pin,,37.971971,23.743087,
,,Dropped Pin,,37.972804,23.74429,
,,Armenian Khachkar,,37.974255,23.74642,
,,ΠΙΝΑΚΟΘΗΚΗ,,37.975099,23.747668,
,,Dropped Pin,,37.974815,23.748042,
,,amenity,,37.975507,23.751482,
,,José Martí,,37.976424,23.753899,
,,landuse-residential,,37.977595,23.755482,
